Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),05-01-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335999.html
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,05-02-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336001.html
RCB,Chargers,RCB,3 runs,Bengaluru,05-03-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336034.html
Kings XI,KKR,Kings XI,9 runs,Mohali,05-03-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336003.html
Mum Indians,Daredevils,Mum Indians,29 runs,Mumbai,05-04-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336004.html
Royals,Super Kings,Royals,8 wickets,Jaipur,05-04-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336005.html
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,05-05-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336006.html
Super Kings,Chargers,Chargers,7 wickets,Chennai,05-06-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336007.html
Mum Indians,Royals,Mum Indians,7 wickets,Mumbai,05-07-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336008.html
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,05-08-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336009.html
KKR,RCB,KKR,5 runs,Kolkata,05-08-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336010.html
Royals,Chargers,Royals,8 wickets,Jaipur,05-09-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336011.html
Super Kings,Kings XI,Super Kings,18 runs,Chennai,05-10-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336013.html
Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),05-11-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336014.html
Royals,Daredevils,Royals,3 wickets,Jaipur,05-11-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336015.html
Kings XI,RCB,Kings XI,9 wickets,Mohali,05-12-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336016.html
KKR,Daredevils,KKR,23 runs,Kolkata,05-13-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336017.html
Mum Indians,Super Kings,Mum Indians,9 wickets,Mumbai,05-14-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336018.html
Daredevils,Chargers,Daredevils,12 runs,Delhi,05-15-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336020.html
Mum Indians,KKR,Mum Indians,8 wickets,Mumbai,05-16-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336021.html
Royals,RCB,Royals,65 runs,Jaipur,05-17-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336023.html
Daredevils,Kings XI,Kings XI,6 runs,Delhi,05-17-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336022.html
KKR,Super Kings,Super Kings,3 runs,Kolkata,05-18-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336025.html
Chargers,Mum Indians,Mum Indians,25 runs,Hyderabad (Deccan),05-18-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336024.html
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,05-19-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336026.html
KKR,Royals,Royals,6 wickets,Kolkata,05-20-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336027.html
Mum Indians,Kings XI,Kings XI,1 run,Mumbai,05-21-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336028.html
Super Kings,RCB,RCB,14 runs,Chennai,05-21-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336029.html
Daredevils,KKR,abandoned,,Delhi,05-22-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336030.html
Kings XI,Chargers,Kings XI,6 wickets,Mohali,05-23-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336031.html
Super Kings,Royals,Royals,10 runs,Chennai,05-24-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336033.html
Daredevils,Mum Indians,Daredevils,5 wickets,Delhi,05-24-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336032.html
Chargers,RCB,RCB,5 wickets,Hyderabad (Deccan),05-25-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336002.html
KKR,Kings XI,KKR,3 wickets,Kolkata,05-25-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336035.html
Royals,Mum Indians,Royals,5 wickets,Jaipur,05-26-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336036.html
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad (Deccan),05-27-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336037.html
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,05-28-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336012.html
Kings XI,Royals,Kings XI,41 runs,Mohali,05-28-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336019.html
Daredevils,Royals,Royals,105 runs,Mumbai,05-30-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336038.html
Super Kings,Kings XI,Super Kings,9 wickets,Mumbai,05-31-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336039.html
Super Kings,Royals,Royals,3 wickets,Mumbai,06-01-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336040.html
