Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
Mum Indians,Royals,Mum Indians,27 runs,Mumbai,04-11-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548317.html
Super Kings,RCB,Super Kings,5 wickets,Chennai,04-12-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548318.html
Kings XI,Warriors,Kings XI,7 wickets,Mohali,04-12-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548319.html
KKR,Royals,KKR,5 wickets,Kolkata,04-13-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548320.html
Warriors,Super Kings,Warriors,7 wickets,Pune,04-14-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548322.html
KKR,Kings XI,Kings XI,2 runs,Kolkata,04-15-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548323.html
RCB,Royals,Royals,59 runs,Bengaluru,04-15-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548324.html
Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,04-16-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548325.html
Royals,Chargers,Royals,5 wickets,Jaipur,04-17-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548326.html
RCB,Warriors,RCB,6 wickets,Bengaluru,04-17-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548327.html
Kings XI,KKR,KKR,8 wickets,Mohali,04-18-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548328.html
Daredevils,Chargers,Daredevils,5 wickets,Delhi,04-19-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548321.html
Super Kings,Warriors,Super Kings,13 runs,Chennai,04-19-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548330.html
Kings XI,RCB,RCB,5 wickets,Mohali,04-20-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548331.html
Super Kings,Royals,Super Kings,7 wickets,Chennai,04-21-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548332.html
Daredevils,Warriors,Warriors,20 runs,Delhi,04-21-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548333.html
Mum Indians,Kings XI,Kings XI,6 wickets,Mumbai,04-22-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548334.html
Chargers,KKR,KKR,5 wickets,Cuttack,04-22-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548335.html
Royals,RCB,RCB,46 runs,Jaipur,04-23-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548336.html
Warriors,Daredevils,Daredevils,8 wickets,Pune,04-24-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548337.html
KKR,Chargers,abandoned,,Kolkata,04-24-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548338.html
Kings XI,Mum Indians,Mum Indians,4 wickets,Mohali,04-25-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548339.html
RCB,Super Kings,no result,,Bengaluru,04-25-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548340.html
Warriors,Chargers,Chargers,18 runs,Pune,04-26-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548341.html
Daredevils,Mum Indians,Daredevils,37 runs,Delhi,04-27-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548342.html
Super Kings,Kings XI,Kings XI,7 runs,Chennai,04-28-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548343.html
KKR,RCB,KKR,47 runs,Kolkata,04-28-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548344.html
Daredevils,Royals,Daredevils,1 run,Delhi,04-29-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548345.html
Mum Indians,Chargers,Mum Indians,5 wickets,Mumbai,04-29-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548346.html
Super Kings,KKR,KKR,5 wickets,Chennai,04-30-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548347.html
Chargers,Warriors,Chargers,13 runs,Cuttack,05-01-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548348.html
Royals,Daredevils,Daredevils,6 wickets,Jaipur,05-01-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548349.html
RCB,Kings XI,Kings XI,4 wickets,Bengaluru,05-02-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548350.html
Warriors,Mum Indians,Mum Indians,1 run,Pune,05-03-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548351.html
Super Kings,Chargers,Super Kings,10 runs,Chennai,05-04-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548352.html
KKR,Warriors,KKR,7 runs,Kolkata,05-05-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548353.html
Kings XI,Royals,Royals,43 runs,Mohali,05-05-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548354.html
Mum Indians,Super Kings,Mum Indians,2 wickets,Mumbai,05-06-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548355.html
RCB,Chargers,RCB,5 wickets,Bengaluru,05-06-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548356.html
Daredevils,KKR,KKR,6 wickets,Delhi,05-07-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548357.html
Warriors,Royals,Royals,7 wickets,Pune,05-08-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548358.html
Chargers,Kings XI,Kings XI,25 runs,Hyderabad (Deccan),05-08-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548359.html
Mum Indians,RCB,RCB,9 wickets,Mumbai,05-09-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548360.html
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),05-10-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548329.html
Royals,Super Kings,Super Kings,4 wickets,Jaipur,05-10-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548361.html
Warriors,RCB,RCB,35 runs,Pune,05-11-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548362.html
KKR,Mum Indians,Mum Indians,27 runs,Kolkata,05-12-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548363.html
Super Kings,Daredevils,Super Kings,9 wickets,Chennai,05-12-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548364.html
Royals,Warriors,Royals,45 runs,Jaipur,05-13-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548365.html
Kings XI,Chargers,Kings XI,4 wickets,Mohali,05-13-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548366.html
RCB,Mum Indians,Mum Indians,5 wickets,Bengaluru,05-14-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548367.html
KKR,Super Kings,Super Kings,5 wickets,Kolkata,05-14-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548368.html
Daredevils,Kings XI,Daredevils,5 wickets,Delhi,05-15-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548369.html
Mum Indians,KKR,KKR,32 runs,Mumbai,05-16-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548370.html
Kings XI,Super Kings,Kings XI,6 wickets,Dharamsala,05-17-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548371.html
Daredevils,RCB,RCB,21 runs,Delhi,05-17-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548372.html
Chargers,Royals,Chargers,5 wickets,Hyderabad (Deccan),05-18-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548373.html
Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,05-19-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548374.html
Warriors,KKR,KKR,34 runs,Pune,05-19-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548375.html
Chargers,RCB,Chargers,9 runs,Hyderabad (Deccan),05-20-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548376.html
Royals,Mum Indians,Mum Indians,10 wickets,Jaipur,05-20-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548377.html
Daredevils,KKR,KKR,18 runs,Pune,05-22-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548378.html
Super Kings,Mum Indians,Super Kings,38 runs,Bengaluru,05-23-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548379.html
Daredevils,Super Kings,Super Kings,86 runs,Chennai,05-25-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548380.html
KKR,Super Kings,KKR,5 wickets,Chennai,05-27-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548381.html
Super Kings,KKR,Super Kings,2 runs,Chennai,04-08-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501198.html
Chargers,Royals,Royals,8 wickets,Hyderabad (Deccan),04-09-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501199.html
Kochi,RCB,RCB,6 wickets,Kochi,04-09-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501200.html
Daredevils,Mum Indians,Mum Indians,8 wickets,Delhi,04-10-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501201.html
Warriors,Kings XI,Warriors,7 wickets,Mumbai,04-10-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501202.html
KKR,Chargers,KKR,9 runs,Kolkata,04-11-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501203.html
Royals,Daredevils,Royals,6 wickets,Jaipur,04-12-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501204.html
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,04-12-2011,2011,http://stats.espncricinfo.com/indian-premier-league-2011/engine/match/501205.html
